type,fold,mae,mse,r2
validation,fold0,0.118263856,0.028581252,0.4924661651310049
external,fold0,0.09623334,0.034896303,0.5088451145352123
validation,fold1,0.11626913,0.028521664,0.5032910667947789
external,fold1,0.0794813,0.012486259,0.7436270055808238
validation,fold2,0.115621515,0.027673064,0.49678379950751106
external,fold2,0.09056345,0.0210407,0.61625397257845
validation,fold3,0.11529712,0.027799714,0.4728448661754401
external,fold3,0.08812064,0.01613469,0.6677646796004527
validation,fold4,0.114520736,0.02672404,0.5012575395535805
external,fold4,0.087789334,0.015656613,0.6488708326917847
