type,fold,roc_auc,accuracy,F1,sensitivity,specificity,precision,recall,aupr
validation,fold0,0.9818930516698656,0.9366255104213032,0.9373712067242639,0.94853211541811,0.9247189054244963,0.9264698932962847,0.94853211541811,0.9814908514029302
external,fold0,0.9634558300687817,0.9023817125980323,0.8995291471761667,0.8739897427710482,0.9307736824250165,0.9266060868921306,0.8739897427710482,0.964440144603032
validation,fold1,0.9828343876186533,0.9388378984231439,0.9393477540136289,0.9472441096391222,0.9304316872071656,0.9315819601943447,0.9472441096391222,0.9831596983828634
external,fold1,0.9648668651687922,0.9051555546686356,0.9021277472032454,0.8742192333020694,0.9360918760352018,0.9318769211133683,0.8742192333020694,0.9664771727876968
validation,fold2,0.9818673488054044,0.9347131843344347,0.9359280857722072,0.9536747129919537,0.9157516556769157,0.9188298749803064,0.9536747129919537,0.9816675635424226
external,fold2,0.9639363490961104,0.9070563349364411,0.905760592448707,0.8933068587735228,0.9208058110993594,0.9185664744628896,0.8933068587735228,0.9651585099843223
validation,fold3,0.9826523295488594,0.9387705525249901,0.9391829099605096,0.9455508413426847,0.9319902637072954,0.9329001760788985,0.9455508413426847,0.9827905275694547
external,fold3,0.9632538473176484,0.8999620841731356,0.8958175300046761,0.860180399513081,0.9397437688331903,0.9345351660740612,0.860180399513081,0.9647409132258595
validation,fold4,0.9814457239579769,0.9349642461091354,0.9352465257947838,0.939323544032733,0.9306049481855379,0.9312047461996285,0.939323544032733,0.9816445984664355
external,fold4,0.9620139031307793,0.9011943485462274,0.8976554546722959,0.8666161122308476,0.9357725848616072,0.9310008468126615,0.8666161122308476,0.963946237608234
